,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
878,"Tanzania, United Republic Of",multiple,dae ltd,dae ltd company,mbinga,DAE Ltd,20,60.0,Africa Fine Coffee Association,DAE Ltd Company,Other,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10.0,10.0,10.0,7.33,81.67,0.12,0,0.0,green,0
879,"Tanzania, United Republic Of",ilomba 1,tembo coffee company ltd,tembo coffee company ltd,"ilomba vilage, mbozi",Tembo Coffee Company Ltd,10,60.0,Africa Fine Coffee Association,Tembo Coffee Company Ltd,Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,7.5,81.67,0.12,0,0.0,green,7
880,Brazil,rio verde,ipanema coffees,ipanema coffees,south of minas,Ipanema Agrícola SA,300,2.0,Specialty Coffee Association,Ipanema Coffees,Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.33,81.67,0.1,0,0.0,green,2
881,Indonesia,Other,Other,volcafe specialty coffee,bener meriah,Other,320,4.0,Specialty Coffee Association,Chris Finch,Other,Semi-washed / Semi-pulped,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,0.11,0,0.0,blue-green,0
882,Honduras,gran manzana y el aguacate,cigrah sps,cigrah,comayagua,"Tomás Sosa, Juan Damaso",275,1.0,Instituto Hondureño del Café,Other,Caturra,Natural / Dry,7.5,7.33,7.5,7.5,7.17,7.17,10.0,10.0,10.0,7.5,81.67,0.1,0,0.0,green,5
883,Costa Rica,gamboa,beneficio montañas del diamante,"ceca,s.a.",tarrazu,Martin Gutierrez,275,69.0,Specialty Coffee Association of Costa Rica,"CECA, S.A.",Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,10.0,8.08,81.67,0.11,0,0.0,green,3
884,Mexico,Other,Other,sustainable harvest,veracruz,Huatusco,320,2.26796,Specialty Coffee Association,Dane Loraas,Other,Washed / Wet,7.42,7.42,7.67,8.0,7.58,7.5,9.33,9.33,10.0,7.42,81.67,0.11,0,0.0,green,4
885,Taiwan,mu he zi coffee 木盒子咖啡園,mu he zi coffee 木盒子咖啡園,blossom valley宸嶧國際,changhua baguashan 彰化市八卦山,Zhang ming fu 張明福,10,30.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10.0,10.0,10.0,7.25,81.67,0.11,0,0.0,green,0
886,Taiwan,guo xin ka fei 國昕咖啡,guo xin ka fei 國昕咖啡,blossom valley宸嶧國際,nantou,Wu cai jin 吳蔡錦,10,30.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.25,81.67,0.11,0,0.0,green,0
887,Mexico,union ramal santa cruz,union ramal santa cruz,union ramal santa cruz spr de ri,"la concordia, chiapas",UNION RAMAL SANTA CRUZ,310,1.0,AMECAFE,FREDY GORDILLO REYES,Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,7.42,81.67,0.12,0,0.0,green,6
888,Guatemala,finca el morito,beneficio el morito,finca el morito,jalapa,"CAFE MOLINO MONTERROSO P,J. ROBERTO",275,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.17,81.67,0.11,0,0.0,green,4
889,Mexico,finca cafetalera la suiza,"municipio monte cristo de guerrero, chiapasmunicipio monte cristo de guerrero","productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v.",tuxtla gutierrez,PRODUCTORA AGRICOLA Y GANADERA FINCA LA SUIZA,100,1.0,AMECAFE,VIRGINIA GORDILLO GORDILLO,Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,7.58,81.67,0.13,1,0.0,green,13
890,Mexico,Other,"yajalon, chiapas",Other,yajalon,MAYA BINIK,15,1.0,AMECAFE,JOSE LUIS MUNOZ GUERRERO,Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,7.08,81.67,0.11,0,0.0,green,4
891,Mexico,ucipa santa catarina,ecc beneficio veracruz,Other,veracruz,CESAR SANTIZ LOPEZ,275,1.0,AMECAFE,CHRISTINA DUSING,Bourbon,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.17,81.67,0.11,0,0.0,green,2
892,Mexico,finca nueva linda,"la concordia, chiapas",ecomtrading,"la concordia, chiapas",OCTAVIO MOGUEL FARRERA,250,1.0,AMECAFE,ALFREDO BOJALIL,Bourbon,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,10.0,7.42,81.67,0.11,0,0.0,green,2
893,Mexico,sacún palma,sacún palma,"estrategias constructivas corzu, s.a. de c.v.","sacún palma, municipio de chilón, chiapas",ARMANDO GUTIEREZ GUZMÁN,12,1.0,AMECAFE,MIGUEL CORTES MORENO,Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,10.0,7.67,81.67,0.11,0,0.0,green,4
894,United States (Hawaii),Other,Other,cqi,kona,Other,13,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.42,7.33,7.33,7.33,7.17,7.83,10.0,10.0,10.0,7.25,81.67,0.1,1,0.0,green,1
895,Honduras,various,cafico,molinos de honduras,western region,Cafes Finos de Corquin,275,69.0,Instituto Hondureño del Café,MDH,Catimor,Washed / Wet,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,10.0,7.33,81.58,0.11,0,1.0,blue-green,3
896,Guatemala,la esperanza,beneficio ixchel,"unex guatemala, s.a.",huehuetenango,"AGRICOLA EL PILAR, SA.",25,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.42,7.08,7.5,7.42,7.33,10.0,10.0,10.0,7.42,81.58,0.12,0,0.0,green,0
897,Taiwan,baishengcun coffee 百勝村咖啡莊園,baishengcun coffee 百勝村咖啡莊園,taiwan coffee laboratory,natou county,蘇晉寬 Su Jin Kuan,20,50.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,7.25,81.58,0.1,0,0.0,blue-green,0
898,Costa Rica,cafetalera aquiares,cafetalera aquiares,"ceca,s.a.",turrialba,Cafetalera Aquiares,250,69.0,Specialty Coffee Association of Costa Rica,"CECA, S.A.",Caturra,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10.0,10.0,10.0,7.25,81.58,0.12,0,0.0,green,1
899,"Tanzania, United Republic Of",acacia hills,acacia hills ltd,acacia hills ltd,"oldeani , mongola",Acacia Hills Ltd,100,60.0,Africa Fine Coffee Association,Acacia Hills Ltd,Other,Washed / Wet,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,10.0,7.25,81.58,0.12,0,0.0,green,5
900,Malawi,kavuzi,mzuzu coffee coop union,mzuzu coffee planters coop union,mzuzu,Mzuzu Coffee Coop Union,10,60.0,Africa Fine Coffee Association,AFCA,Gesha,Washed / Wet,7.42,7.42,7.17,7.58,7.33,7.33,10.0,10.0,10.0,7.33,81.58,0.13,0,0.0,green,0
901,Taiwan,jacob's estate 雅谷咖啡,jacob's estate 雅谷咖啡,"red on tree co., ltd.",natou county,CHIU WEI LUN 邱偉倫,50,20.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Typica,Semi-washed / Semi-pulped,7.33,7.17,7.08,7.08,8.33,8.25,10.0,10.0,9.33,7.0,81.58,0.11,0,0.0,other,0
902,Brazil,rio verde,ipanema coffees,ipanema coffees,south of minas,Ipanema Coffees,300,60.0,NUCOFFEE,Ipanema Coffees,Yellow Bourbon,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,7.33,81.58,0.12,0,0.0,blue-green,3
903,Guatemala,el morito,beneficio ixchel,"unex guatemala, s.a.",oriente,ROBERTO MONTERROSO,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,10.0,7.17,81.58,0.12,0,0.0,green,1
904,Mexico,union ramal santa cruz,union ramal santa cruz,union ramal santa cruz spr de ri,"la concordia, chiapas",UNION RAMAL SANTA CRUZ,310,1.0,AMECAFE,FREDY GORDILLO REYES,Typica,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,7.33,81.58,0.12,0,0.0,green,9
905,Mexico,las nubes - pante don jaime,Other,finca santa cruz,la concordia,LUIS ANTONIO LOPEZ AGUILAR,28,1.0,AMECAFE,Enrique Eduardo Lopez Aguilar,Other,Natural / Dry,7.33,7.5,7.25,7.5,7.5,7.17,10.0,10.0,10.0,7.33,81.58,0.11,0,0.0,other,0
906,Mexico,santa cruz - pante don jaime,Other,finca santa cruz,la concordia,ENRIQUE EDUARDO LOPEZ AGUILAR,28,1.0,AMECAFE,Enrique Eduardo Lopez Aguilar,Typica,Natural / Dry,7.67,7.58,7.42,7.58,7.58,7.42,10.0,10.0,8.67,7.67,81.58,0.11,0,0.0,other,2
907,Thailand,"doi chaang coffee original co.,ltd",peaberry,Other,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,12,50.0,Specialty Coffee Association,Doi Chaang Coffee Company,Other,Other,7.08,7.33,7.58,7.58,7.17,7.5,10.0,10.0,10.0,7.33,81.58,0.11,0,0.0,other,0
908,Thailand,doi tung development project,Other,Other,Other,Other,1,60.0,Specialty Coffee Association,Doi Tung Development Project,Other,Other,7.33,7.33,7.17,7.5,7.58,7.33,10.0,10.0,10.0,7.33,81.58,0.11,0,0.0,other,0
909,Costa Rica,Other,Other,Other,tarrazu,CoopeTarrazu,1,60.0,Specialty Coffee Association,Benjamin Schmerler,Other,Other,7.25,7.17,7.33,7.33,7.5,7.75,10.0,10.0,10.0,7.25,81.58,0.11,0,0.0,other,1
910,Guatemala,las delicias,beneficio ixchel,"unex guatemala, s.a.",santa rosa,OTTO BECKER,50,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,7.58,81.5,0.1,0,0.0,green,0
911,Nicaragua,finca las marías,beneficio atlantic condega,exportadora atlantic s.a,jalapa,Teófilo Narváez :,550,69.0,Instituto Hondureño del Café,"Exportadora Atlantic, S.A.",Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0.0,green,3
912,Honduras,las cuchillas,cigrah,cigrah,comayagua,NAHUN MALDONADO,275,69.0,Instituto Hondureño del Café,Elsy Reyes,Caturra,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,7.33,81.5,0.1,0,0.0,green,5
913,Guatemala,las delicias,beneficio ixchel,"unex guatemala, s.a.",santa rosa,AGRICOLA MONTE VERDE,50,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Other,7.5,7.42,7.25,7.25,7.5,7.25,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,green,0
914,Taiwan,谷泉咖啡莊園,寶島咖啡,宸嶧國際,古坑鄉荷包村尖山坑60號,劉易騰,123,2.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,green,2
915,Other,mixed,genius coffee estate,"aung nay lin htun co., ltd",ywar ngan township,Genius Coffee Estate,1,1.0,Coffee Quality Institute,Genius Coffee,Catuai,Washed / Wet,7.25,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0.0,green,4
916,Costa Rica,several,several,santa laura exportadora de cafe s.l.e.c. s.a.,occidental,Beneficio la Eva S.A.,250,1.0,Specialty Coffee Association of Costa Rica,Santa Laura Exportadora de Cafe S.L.E.C. S.A.,Caturra,Washed / Wet,7.83,7.33,7.08,7.08,7.33,7.5,10.0,10.0,10.0,7.33,81.5,0.12,1,0.0,green,2
917,Malawi,chinongo,mzuzu coffee coop union,mzuzu coffee planters coop union,mzuzu,Mzuzu Coffee Coop Union        ,15,60.0,Africa Fine Coffee Association,AFCA,Gesha,Washed / Wet,7.67,7.42,6.92,7.5,7.5,7.17,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,green,0
918,Guatemala,various,las americas,outspan guatemala s.a.,oriente,VARIOS,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Other,Washed / Wet,7.5,7.42,7.17,7.58,7.25,7.42,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,0
919,Taiwan,good mood coffee 馨晴咖啡        ,good mood coffee 馨晴咖啡        ,"red on tree co., ltd.",natou county,HUANG MEI TAO 黃美桃        ,50,20.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪
",Typica,Washed / Wet,7.42,7.33,7.67,7.33,7.42,7.5,10.0,10.0,9.33,7.5,81.5,0.11,0,0.0,blue-green,0
920,Brazil,pereira estate coffee,carapina armazens gerais,exportadora de cafés carmo de minas ltda,sul de minas,MARIA ROGERIA COSTA PEREIRA,300,60.0,Specialty Coffee Association,Jacques Pereira Carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,0.11,1,0.0,green,1
921,Other,mixed,coopacvod,haiti coffee,"dondon, haiti",Mixed,300,1.814368,Specialty Coffee Association,Myriam Kaplan-Pasternak,Other,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0.0,blue-green,0
922,Taiwan,xu yuan zhang 徐源漳,xu yuan zhang 徐源漳,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Xu yuan zhang 徐源漳,5,30.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.5,7.42,7.25,7.25,7.33,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0.0,green,0
923,Mexico,nueva linda,amsa tuxtla,ecomtrading,"la concordia, chiapas",AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,250,1.0,AMECAFE,ALFREDO BOJALIL,Typica,Washed / Wet,7.33,7.33,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.25,81.5,0.13,0,0.0,green,2
924,Mexico,productor independiente guadalupe victoria,amsa tuxtla,ecomtrading,amatenango de la frontera,JORGE HERNANDEZ MONTEJO,250,1.0,AMECAFE,ALFREDO BOJALIL,Typica,Washed / Wet,7.58,7.42,7.25,7.42,7.33,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,5
925,Mexico,santa maria temaxcalapa,santa maria temaxcalapa,Other,temaxcalapa,ZENOBIO MARTINEZ CANO,30,1.0,AMECAFE,JOSE LUIS MUNOZ GUERRERO,Catuai,Washed / Wet,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,10.0,7.08,81.5,0.12,0,0.0,green,10
926,Mexico,canoa manzanillo,canoa manzanillo,Other,manzanillo,MANUEL DUARTE MUNGUIA,20,1.0,AMECAFE,JOSE LUIS MUNOZ GUERRERO,Typica,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.25,81.5,0.11,0,0.0,green,6
927,Mexico,hamburgo 7 arroyos,finca hamburgo,Other,tapachula,TOMAS EDELMANN BLASS,50,80.0,AMECAFE,TOMAS EDELMANN BLASS,Bourbon,Washed / Wet,7.42,7.42,7.33,7.17,7.25,7.42,10.0,10.0,10.0,7.5,81.5,0.13,0,0.0,green,5
928,Mexico,el romance azul,"el romnace azul, rio verde",Other,atoyac de alvarez,MARIA DE LA PAZ AGUILAR GUILLEN,15,1.0,AMECAFE,MARIA DE LA PAZ AGUILAR GUILLEN,Typica,Natural / Dry,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10.0,10.0,7.42,81.5,0.11,0,0.0,green,3
929,Indonesia,"ijen highland, east java",pt. perkebunan nusantara xii,scai,ijen,PT. Perkebunan Nusantara XII,10,60.0,Specialty Coffee Association of Indonesia,Specialty Coffee Association of Indonesia,Other,Washed / Wet,7.75,7.17,7.17,7.33,7.58,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,0
930,Brazil,sertao,cocarive,exportadora de cafés carmo de minas ltda,sul de minas,Nazareth Dias Pereira,300,1.0,NUCOFFEE,Jacques Pereira Carneiro,Bourbon,Semi-washed / Semi-pulped,7.5,7.42,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,blue-green,2
931,Guatemala,chiquimulja / alpha cafe / senfro,beneficio ixchel,"unex guatemala, s.a.",oriente,CHIQUIMULJA / ALPHA CAFE / SENFRO,250,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.33,7.5,7.33,7.42,7.17,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0.0,green,1
932,Colombia,Other,Other,Other,cauca,Other,250,70.0,Almacafé,Racafe & Cia S.C.A,Other,Other,7.42,7.42,7.17,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.5,0.11,1,0.0,other,0
933,United States (Hawaii),Other,Other,Other,kona,Other,16,1.0,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.33,7.33,7.33,7.5,7.5,7.83,9.33,10.0,10.0,7.33,81.5,0.11,0,0.0,other,17
934,Mexico,cafetal,cafes tomari sa de cv,cafes tomari sa de cv,veracruz,Cafes tomari sa de cv,200,69.0,Centro Agroecológico del Café A.C.,CAFES TOMARI SA DE CV,Mundo Novo,Washed / Wet,7.58,7.33,7.08,7.33,7.5,7.33,10.0,10.0,10.0,7.25,81.42,0.12,1,5.0,green,17
935,Guatemala,nueva granada,beneficio nueva granada,"agricola nueva granada, s.a.",san marcos,"AGRICOLA NUEVA GRANADA, S.A.",450,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Catuai,Washed / Wet,7.42,7.33,7.08,7.58,7.33,7.25,10.0,10.0,10.0,7.42,81.42,0.1,0,0.0,green,0
936,Brazil,fazenda rio brilhante,17/18,cafebras comercio de cafés do brasil sa,cerrado,INACIO URBAN,300,60.0,Brazil Specialty Coffee Association,Cafebras,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,6.83,7.42,10.0,10.0,10.0,7.5,81.42,0.11,0,0.0,green,2
937,Honduras,cerro bueno,cadexsa,cadexsa,marcala,Jose Omar Acosta,275,1.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,7.5,7.33,7.17,7.25,7.5,7.42,10.0,10.0,10.0,7.25,81.42,0.12,0,0.0,green,1
938,Taiwan,山彎有機咖啡農場,三彎農會,宸嶧國際,苗栗三灣,謝文品,10,60.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.83,7.75,7.42,7.17,7.08,7.08,10.0,10.0,10.0,7.08,81.42,0.12,0,0.0,green,0
939,Malawi,chimpumba,mzuzu coffee coop union,mzuzu coffee planters coop union,mzuzu,Mzuzu Coffee Coop Union,12,60.0,Africa Fine Coffee Association,AFCA,Gesha,Washed / Wet,7.58,7.17,7.33,7.42,7.08,7.42,10.0,10.0,10.0,7.42,81.42,0.12,0,0.0,blue-green,0
940,Brazil,rio verde,ipanema coffees,ipanema coffees,south of minas,Ipanema Agrícola SA,320,2.0,Specialty Coffee Association,Ipanema Coffees,Bourbon,Natural / Dry,7.25,7.5,7.42,7.17,7.33,7.33,10.0,10.0,10.0,7.42,81.42,0.11,0,0.0,green,0
941,Guatemala,santo tomas pachuj,humedo: finca santo tomas pachuj y seco: beneficio palinsa,cafcom,"san lucas toliman, solola","PACHUJ, S. A.",250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.5,7.17,7.42,7.42,7.42,10.0,10.0,10.0,7.08,81.42,0.1,0,0.0,green,6
942,Mexico,various,cafe gourmet de sierra azul sc,globus coffee,siltepec el triunfo,various small producers,280,2.0,Specialty Coffee Association,Kurt Kappeli,Typica,Washed / Wet,7.67,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.33,81.42,0.11,1,0.0,green,1
943,Peru,Other,Other,sustainable harvest,puno,Other,280,2.26796,Specialty Coffee Association,Dane Loraas,Other,Washed / Wet,7.42,7.42,7.17,7.33,7.42,7.42,10.0,10.0,10.0,7.25,81.42,0.1,1,0.0,blue-green,5
944,Guatemala,la union monte verde,beneficio ixchel,"unex guatemala, s.a.",oriente,OTTO BECKER,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.5,10.0,10.0,10.0,7.08,81.42,0.12,0,0.0,green,4
945,Mexico,palantla,"en chiatipan, municipio de huazalingo",Other,"huazalingo, hidalgo","MARTINEZ BAUTISTA, NICOLAS",10,1.0,AMECAFE,SAUL M. HERNANDEZ RAMIREZ,Caturra,Washed / Wet,7.42,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.58,81.42,0.13,1,0.0,other,8
946,Mexico,los brujos,Other,grupo cafetalero los brujos,"coatepec, coatepec",MARIA DE LOUDES ANCIRA ELIZONDO,20,1.0,AMECAFE,GRUPO CAFETALERO LOS BRUJOS SPR DE RL,Typica,Washed / Wet,7.42,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,7.25,81.42,0.13,0,0.0,other,1
947,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Exportadora de cafe condor s.a,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Natural / Dry,7.5,7.42,7.25,7.17,7.17,7.75,10.0,10.0,10.0,7.17,81.42,0.11,0,0.0,green,0
948,Colombia,Other,trilladora bonanza - armenia quindioa,Other,cauca,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Other,Other,7.75,7.33,7.42,7.0,7.33,7.25,10.0,10.0,10.0,7.33,81.42,0.11,0,0.0,other,2
949,United States (Hawaii),kona pacific farmers cooperative,kona pacific farmers cooperative,Other,kona,Other,27,0.0,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Peaberry,Other,7.83,7.0,7.0,7.58,7.58,7.5,10.0,10.0,10.0,6.92,81.42,0.11,0,0.0,other,10
950,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,230,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.5,7.33,7.33,7.17,7.33,7.42,10.0,10.0,10.0,7.25,81.33,0.11,0,0.0,other,0
951,Honduras,las cuchillas,dry mill,cigrah s.a de c.v,comayagua,Nahun Maldonado,275,69.0,Instituto Hondureño del Café,Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.0,7.17,7.5,7.33,10.0,10.0,10.0,7.33,81.33,0.11,0,2.0,blue-green,3
952,Mexico,Other,ac la laja sa de cv,ac la laja sa de cv,veracruz,Juan Hermilo Sampieri,220,69.0,Centro Agroecológico del Café A.C.,Angel Oscar Medina Rodriguez,Other,Other,7.67,7.42,7.0,7.42,7.58,7.08,10.0,10.0,10.0,7.17,81.33,0.12,0,2.0,green,0
953,Brazil,fazenda sacramento,17/18,cafebras comercio de cafés do brasil sa,cerrado,NELSON AZEVEDO FRANÇA,300,60.0,Brazil Specialty Coffee Association,Cafebras,Catuai,Natural / Dry,7.25,7.33,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.33,81.33,0.11,0,0.0,green,14
954,Honduras,bethel,cadexsa,cadexsa,marcala,Jose Omar Acosta,275,1.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,7.58,7.42,7.17,7.42,7.17,7.17,10.0,10.0,10.0,7.42,81.33,0.09,0,0.0,green,4
955,Brazil,sertao farm,carapina,exportadora de cafés carmo de minas ltda,mantiqueira de minas,NAZARETH DIAS PEREIRA,300,60.0,Brazil Specialty Coffee Association,Jacques Pereira Carneiro,Yellow Bourbon,Other,7.17,7.33,7.42,7.25,7.42,7.33,10.0,10.0,10.0,7.42,81.33,0.12,0,0.0,green,6
956,Other,bacofa,green beans,s3v international importing,"davao city, region 11","COFFEE FOR PEACE,INC.",2,2.0,Specialty Coffee Association,Victoria,Other,Washed / Wet,7.08,7.33,7.42,7.33,7.33,7.5,10.0,10.0,10.0,7.33,81.33,0.14,0,0.0,green,3
957,Malawi,usingini farm,mzuzu coffee coop union,mzuzu coffee planters coop union,mzuzu,Mzuzu Coffee Coop Union,31,60.0,Africa Fine Coffee Association,AFCA,Gesha,Washed / Wet,7.75,7.33,7.08,7.33,7.33,7.25,10.0,10.0,10.0,7.25,81.33,0.13,0,0.0,green,1
958,Honduras,el cerron,olam honduras,"olam honduras, s.a.",san marcos,Nelson Melgar Melgar,275,1.0,Instituto Hondureño del Café,Mayra Yessenia Torres,Catuai,Washed / Wet,7.33,7.33,7.17,7.33,7.5,7.33,10.0,10.0,10.0,7.33,81.33,0.12,0,0.0,green,3
959,Mexico,Other,"tapachula, chiapas",indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,tapachula,ISMAM SAN ISIDRO LABRADOR S. DE S.S.,250,1.0,AMECAFE,JULIO PEREZ HERNANDEZ,Typica,Washed / Wet,7.58,7.42,7.25,7.33,7.25,7.25,10.0,10.0,10.0,7.25,81.33,0.13,4,0.0,green,13
960,Mexico,cruz verde,cruz verde,Other,veracruz,HECTOR GABRIEL BARREDA NADER,70,1.0,AMECAFE,HECTOR GABRIEL BARREDA NADER,Typica,Washed / Wet,7.33,7.25,7.17,7.42,7.58,7.33,10.0,10.0,10.0,7.25,81.33,0.12,0,0.0,other,4
961,Brazil,fazendas klem ltda,dry mill,klem organics coffee,matas de minas        ,NAGIPE VIANA KLEM       ,42,5.0,Specialty Coffee Association,KlemOrganics,Catuai,Natural / Dry,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,7.58,81.33,0.11,0,0.0,green,0
962,Taiwan,jing jing café 晶晶坊青山咖啡教室,jing jing café 晶晶坊青山咖啡教室,taiwan coffee laboratory,"dongshan dist., tainan city 台南市東山區",Hu Guei Jing 胡桂青,20,50.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10.0,10.0,5.25,81.25,0.12,0,0.0,green,0
963,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,south of minas,Ipanema Agrícola SA,320,2.0,Brazil Specialty Coffee Association,Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.42,7.17,7.08,6.92,8.17,10.0,10.0,10.0,7.33,81.25,0.11,0,0.0,green,1
